Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	80	19.221	2.584	3.49826e-029	23.1025	171.847
0	80	19.221	2.812	1.83016e-028	24.8808	170.069
0	80	19.221	3.04	4.38732e-028	26.6227	168.327


0	95	4.80525	0.76	1.61559e-027	26.6227	168.327
0	95	4.80525	0.988	1.61559e-027	33.2474	161.703
0	95	4.80525	1.216	1.61559e-027	39.3704	155.58
0	95	4.80525	1.444	0	45.0467	149.903
0	95	4.80525	1.672	3.23117e-027	50.3233	144.627
0	95	4.80525	1.9	1.61559e-027	55.241	139.709
0	95	4.80525	2.128	-1.61559e-027	59.8354	135.115
0	95	4.80525	2.356	1.61559e-027	64.1372	130.813
0	95	4.80525	2.584	-3.23117e-027	68.1735	126.777
0	95	4.80525	2.812	-1.61559e-027	71.9682	122.982
0	95	4.80525	3.04	0	75.5423	119.408

0	95	6.24682	0.76	-1.61559e-027	21.1454	173.805
0	95	6.24682	0.988	-1.61559e-027	26.6227	168.327
0	95	6.24682	1.216	-3.23117e-027	31.7653	163.185
0	95	6.24682	1.444	-4.84676e-027	36.6031	158.347
0	95	6.24682	1.672	3.23117e-027	41.1622	153.788
0	95	6.24682	1.9	1.61559e-027	45.4662	149.484
0	95	6.24682	2.128	3.23117e-027	49.5358	145.414
0	95	6.24682	2.356	3.23117e-027	53.3897	141.56
0	95	6.24682	2.584	3.23117e-027	57.0446	137.905
0	95	6.24682	2.812	-1.61559e-027	60.5155	134.434
0	95	6.24682	3.04	3.23117e-027	63.816	131.134

0	95	7.6884	0.76	1.61559e-027	17.5373	177.413
0	95	7.6884	0.988	0	22.1994	172.751
0	95	7.6884	1.216	-1.61559e-027	26.6227	168.327
0	95	7.6884	1.444	3.23117e-027	30.8252	164.125
0	95	7.6884	1.672	0	34.8229	160.127
0	95	7.6884	1.9	1.61559e-027	38.6305	156.319
0	95	7.6884	2.128	-3.23117e-027	42.2613	152.689
0	95	7.6884	2.356	0	45.7272	149.223
0	95	7.6884	2.584	4.84676e-027	49.0393	145.911
0	95	7.6884	2.812	-1.61559e-027	52.2075	142.743
0	95	7.6884	3.04	-1.61559e-027	55.241	139.709

0	95	9.12997	0.76	4.84676e-027	14.981	179.969
0	95	9.12997	0.988	1.61559e-027	19.0365	175.914
0	95	9.12997	1.216	-1.61559e-027	22.9132	172.037
0	95	9.12997	1.444	1.61559e-027	26.6227	168.327
0	95	9.12997	1.672	-3.23117e-027	30.1756	164.774
0	95	9.12997	1.9	0	33.5817	161.368
0	95	9.12997	2.128	0	36.8498	158.1
0	95	9.12997	2.356	-1.61559e-027	39.9881	154.962
0	95	9.12997	2.584	1.61559e-027	43.0043	151.946
0	95	9.12997	2.812	-1.61559e-027	45.9053	149.045
0	95	9.12997	3.04	-1.61559e-027	48.6976	146.252

0	95	10.5715	0.76	1.61559e-027	13.0752	181.875
0	95	10.5715	0.988	-1.61559e-027	16.6625	178.288
0	95	10.5715	1.216	0	20.111	174.839
0	95	10.5715	1.444	4.84676e-027	23.4286	171.521
0	95	10.5715	1.672	1.61559e-027	26.6227	168.327
0	95	10.5715	1.9	0	29.7	165.25
0	95	10.5715	2.128	-3.23117e-027	32.6668	162.283
0	95	10.5715	2.356	-1.61559e-027	35.5289	159.421
0	95	10.5715	2.584	-1.61559e-027	38.2919	156.658
0	95	10.5715	2.812	1.61559e-027	40.9607	153.989
0	95	10.5715	3.04	-3.23117e-027	43.5401	151.41

0	95	12.0131	0.76	4.84676e-027	11.5995	183.35
0	95	12.0131	0.988	1.61559e-027	14.8149	180.135
0	95	12.0131	1.216	0	17.9195	177.031
0	95	12.0131	1.444	1.61559e-027	20.9189	174.031
0	95	12.0131	1.672	4.84676e-027	23.8183	171.132
0	95	12.0131	1.9	0	26.6227	168.327
0	95	12.0131	2.128	0	29.3367	165.613
0	95	12.0131	2.356	-1.61559e-027	31.9645	162.985
0	95	12.0131	2.584	0	34.5103	160.44
0	95	12.0131	2.812	-1.61559e-027	36.9777	157.972
0	95	12.0131	3.04	0	39.3704	155.58

0	95	13.4547	0.76	3.23117e-027	10.4232	184.527
0	95	13.4547	0.988	0	13.3362	181.614
0	95	13.4547	1.216	-1.61559e-027	16.1587	178.791
0	95	13.4547	1.444	-1.61559e-027	18.8948	176.055
0	95	13.4547	1.672	3.23117e-027	21.5484	173.402
0	95	13.4547	1.9	-1.61559e-027	24.1232	170.827
0	95	13.4547	2.128	1.61559e-027	26.6227	168.327
0	95	13.4547	2.356	-1.61559e-027	29.0501	165.9
0	95	13.4547	2.584	3.23117e-027	31.4085	163.542
0	95	13.4547	2.812	-4.84676e-027	33.7007	161.249
0	95	13.4547	3.04	1.61559e-027	35.9296	159.02

0	95	14.8963	0.76	0	9.46343	185.487
0	95	14.8963	0.988	-1.61559e-027	12.1259	182.824
0	95	14.8963	1.216	-3.23117e-027	14.713	180.237
0	95	14.8963	1.444	1.61559e-027	17.2278	177.722
0	95	14.8963	1.672	-1.61559e-027	19.6735	175.276
0	95	14.8963	1.9	1.61559e-027	22.0528	172.897
0	95	14.8963	2.128	1.61559e-027	24.3684	170.582
0	95	14.8963	2.356	1.61559e-027	26.6227	168.327
0	95	14.8963	2.584	0	28.8182	166.132
0	95	14.8963	2.812	3.23117e-027	30.9572	163.993
0	95	14.8963	3.04	1.61559e-027	33.0419	161.908

0	95	16.3379	0.76	1.61559e-027	8.66553	186.284
0	95	16.3379	0.988	0	11.1169	183.833
0	95	16.3379	1.216	1.61559e-027	13.5047	181.445
